,Country,City,AccentCity,Region,Population,Latitude,Longitude
216113,be,aalst,Aalst,08,77534.0,50.933333000000005,4.033333
216138,be,aarschot,Aarschot,02,27656.0,50.983333,4.8333330000000005
216326,be,andenne,Andenne,07,24055.0,50.483333,5.1
216353,be,ans,Ans,04,27297.0,50.65,5.533333
216365,be,antwerp,Antwerp,01,459805.0,51.216667,4.4166669999999995
216411,be,arlon,Arlon,06,26179.0,49.683333000000005,5.816667
216442,be,asse,Asse,02,28985.0,50.916667,4.2
216459,be,ath,Ath,03,26681.0,50.633333,3.7833330000000003
216908,be,beersel,Beersel,02,23228.0,50.766667,4.3
217092,be,beringen,Beringen,05,40930.0,51.05,5.216667
217189,be,beveren,Beveren,08,45179.0,51.216667,4.25
217269,be,bilzen,Bilzen,05,29622.0,50.866667,5.516667
217270,be,binche,Binche,03,32030.0,50.4,4.1666669999999995
217827,be,boussu,Boussu,03,20058.0,50.433333000000005,3.8
217892,be,braine-le-comte,Braine-le-Comte,03,20133.0,50.6,4.133333
217914,be,brasschaat,Brasschaat,01,37040.0,51.283333,4.45
217921,be,brecht,Brecht,01,25908.0,51.35,4.633333
218048,be,brugge,Brugge,09,116709.0,51.216667,3.233333
218097,be,brussels,Brussels,11,1019022.0,50.833333,4.3333330000000005
218440,be,charleroi,Charleroi,03,200132.0,50.416667,4.433333
218460,be,chatelet,Châtelet,03,35238.0,50.4,4.516667
218466,be,chaudfontaine,Chaudfontaine,04,20960.0,50.583333,5.633333
218763,be,courcelles,Courcelles,03,29473.0,50.466667,4.366667
219046,be,deinze,Deinze,08,27777.0,50.983333,3.5333330000000003
219150,be,dendermonde,Dendermonde,08,43055.0,51.033333,4.116667
219385,be,diest,Diest,02,22516.0,50.983333,5.05
219404,be,dilbeek,Dilbeek,02,39482.0,50.85,4.266667
219660,be,edegem,Edegem,01,21839.0,51.15,4.45
220023,be,evergem,Evergem,08,31615.0,51.116667,3.7
220214,be,fleurus,Fleurus,03,22080.0,50.483333,4.533333
220400,be,frameries,Frameries,03,20598.0,50.4,3.9
220561,be,geel,Geel,01,34697.0,51.166667,5.0
220624,be,gembloux,Gembloux,07,21676.0,50.566666999999995,4.683333
220675,be,genk,Genk,05,63666.0,50.966667,5.5
220688,be,gent,Gent,08,231493.0,51.05,3.7166669999999997
220694,be,geraardsbergen,Geraardsbergen,08,30807.0,50.766667,3.8666669999999996
221078,be,grimbergen,Grimbergen,02,33561.0,50.933333000000005,4.383333
221423,be,halle,Halle,02,34479.0,50.733333,4.233333
221462,be,hamme,Hamme,08,22891.0,51.1,4.133333
221534,be,harelbeke,Harelbeke,09,25978.0,50.85,3.3
221574,be,hasselt,Hasselt,05,69222.0,50.933333000000005,5.3333330000000005
221832,be,heist-op-den-berg,Heist-op-den-Berg,01,37873.0,51.083333,4.716667
221947,be,herentals,Herentals,01,25912.0,51.183333000000005,4.8333330000000005
222004,be,herstal,Herstal,04,36503.0,50.666667,5.633333
222736,be,ieper,Ieper,09,35089.0,50.85,2.8833330000000004
222803,be,izegem,Izegem,09,26382.0,50.916667,3.2
222998,be,kapellen,Kapellen,01,26410.0,51.316666999999995,4.433333
223415,be,knokke-heist,Knokke-Heist,09,33781.0,51.35,3.266667
223458,be,koksijde,Koksijde,09,21027.0,51.1,2.65
223492,be,kontich,Kontich,01,20290.0,51.133333,4.45
223543,be,kortrijk,Kortrijk,09,73879.0,50.833333,3.266667
224020,be,la louviere,La Louvière,03,76668.0,50.466667,4.183333
224073,be,lanaken,Lanaken,05,24771.0,50.883333,5.65
224923,be,leuven,Leuven,12,92892.0,50.883333,4.7
224980,be,liege,Liège,04,182597.0,50.633333,5.566667
225132,be,lokeren,Lokeren,08,37567.0,51.1,3.983333
225154,be,lommel,Lommel,05,31993.0,51.233333,5.3
225341,be,maaseik,Maaseik,05,23684.0,51.1,5.8
225343,be,maasmechelen,Maasmechelen,05,36251.0,50.816666999999995,5.6666669999999995
225425,be,maldegem,Maldegem,08,22092.0,51.216667,3.45
225463,be,manage,Manage,03,22196.0,50.5,4.216667
225654,be,mechelen,Mechelen,01,77531.0,51.033333,4.466667
225809,be,menen,Menen,09,31916.0,50.8,3.1166669999999996
225827,be,merelbeke,Merelbeke,08,22047.0,51.0,3.75
226098,be,mol,Mol,01,32659.0,51.183333000000005,5.1
226132,be,mons,Mons,03,91277.0,50.45,3.933333
226258,be,mortsel,Mortsel,01,24525.0,51.166667,4.466667
226305,be,mouscron,Mouscron,03,52069.0,50.733333,3.2166669999999997
226408,be,namur,Namur,07,106284.0,50.466667,4.866667
226676,be,nijlen,Nijlen,01,20792.0,51.166667,4.65
226696,be,ninove,Ninove,08,34795.0,50.833333,4.016667
226704,be,nivelles,Nivelles,02,24149.0,50.6,4.3333330000000005
226959,be,oostkamp,Oostkamp,09,21489.0,51.15,3.233333
227071,be,ostend,Ostend,09,69011.0,51.216667,2.916667
227106,be,oudenaarde,Oudenaarde,08,27935.0,50.85,3.6
227158,be,oupeye,Oupeye,04,23594.0,50.7,5.65
227206,be,overijse,Overijse,02,23486.0,50.766667,4.533333
228377,be,rixensart,Rixensart,02,21616.0,50.716667,4.533333
228447,be,roeselare,Roeselare,09,56016.0,50.95,3.1333330000000004
228531,be,ronse,Ronse,08,24204.0,50.75,3.6
228865,be,saint-ghislain,Saint-Ghislain,03,22500.0,50.45,3.816667
228915,be,saint-nicolas,Saint-Nicolas,04,22586.0,50.633333,5.533333
229155,be,schilde,Schilde,01,20373.0,51.233333,4.566667
229241,be,schoten,Schoten,01,33622.0,51.25,4.5
229340,be,seraing,Seraing,04,60737.0,50.6,5.483333
229526,be,sint-niklaas,Sint-Niklaas,08,69010.0,51.166667,4.133333
229544,be,sint-pieters-leeuw,Sint-Pieters-Leeuw,02,30446.0,50.783333,4.233333
229562,be,sint-truiden,Sint-Truiden,05,37859.0,50.8,5.2
229679,be,soignies,Soignies,03,24869.0,50.583333,4.066667
230201,be,temse,Temse,08,26054.0,51.133333,4.216667
230331,be,tervuren,Tervuren,02,20623.0,50.816666999999995,4.516667
230447,be,tienen,Tienen,02,31743.0,50.8,4.95
230509,be,tongeren,Tongeren,05,29816.0,50.783333,5.466667
230543,be,tournai,Tournai,03,67720.0,50.6,3.3833330000000004
230697,be,tubize,Tubize,02,21859.0,50.683333000000005,4.2
230723,be,turnhout,Turnhout,01,39654.0,51.316666999999995,4.95
230963,be,verviers,Verviers,04,52824.0,50.583333,5.866667
231109,be,vilvoorde,Vilvoorde,02,36955.0,50.933333000000005,4.433333
231528,be,waregem,Waregem,09,35896.0,50.883333,3.416667
231586,be,waterloo,Waterloo,02,28910.0,50.716667,4.383333
231631,be,wavre,Wavre,10,32112.0,50.716667,4.616667
231736,be,westerlo,Westerlo,01,22579.0,51.083333,4.9166669999999995
231760,be,wetteren,Wetteren,08,22930.0,51.0,3.8833330000000004
231762,be,wevelgem,Wevelgem,09,30954.0,50.8,3.166667
231865,be,willebroek,Willebroek,01,22808.0,51.066666999999995,4.366667
232139,be,zaventem,Zaventem,02,28188.0,50.883333,4.466667
232140,be,zedelgem,Zedelgem,09,21968.0,51.15,3.1333330000000004
232158,be,zele,Zele,08,20236.0,51.066666999999995,4.033333
232167,be,zemst,Zemst,02,21096.0,50.983333,4.466667
232222,be,zoersel,Zoersel,01,20642.0,51.266667,4.7
232248,be,zottegem,Zottegem,08,24434.0,50.866667,3.8
232316,be,zwevegem,Zwevegem,09,23358.0,50.8,3.333333
